image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,image_2.started,text_4.started,button.started,button.numClicks,button.timesOn,button.timesOff,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,28.41859660000773,30.433950500009814,30.433950500009814,space,10.156302399991546,,,,,,,,Teat,001,2023-02-22_16h07.57.867,SEAL_LandmarkPoint,2022.2.5,60.072002301245156,
PointingImages/Landmark12_statue.jpeg,0,0,0,0,,,,,,41.29255280000507,41.29255280000507,41.29255280000507,1,[258.5087245000177],[258.5087323000189],,Teat,001,2023-02-22_16h07.57.867,SEAL_LandmarkPoint,2022.2.5,60.072002301245156,
PointingImages/Landmark11_painting.jpeg,0,1,1,1,,,,,,300.4240148999961,300.4240148999961,300.4240148999961,2,"[258.5087245000177, 20.1935868000146]","[258.5087323000189, 20.19359579999582]",,Teat,001,2023-02-22_16h07.57.867,SEAL_LandmarkPoint,2022.2.5,60.072002301245156,
PointingImages/Landmark7_painting.jpeg,0,2,2,2,,,,,,320.9641411000048,320.9641411000048,320.9641411000048,3,"[258.5087245000177, 20.1935868000146, 24.716091799986316]","[258.5087323000189, 20.19359579999582, 24.716099699988263]",,Teat,001,2023-02-22_16h07.57.867,SEAL_LandmarkPoint,2022.2.5,60.072002301245156,
PointingImages/Landmark8_painting.jpeg,0,3,3,3,,,,,,346.32073690000107,346.32073690000107,346.32073690000107,4,"[258.5087245000177, 20.1935868000146, 24.716091799986316, 23.796099900006084]","[258.5087323000189, 20.19359579999582, 24.716099699988263, 23.796106699999655]",,Teat,001,2023-02-22_16h07.57.867,SEAL_LandmarkPoint,2022.2.5,60.072002301245156,
PointingImages/Landmark9_painting.jpeg,0,4,4,4,,,,,,370.5711013000109,370.5711013000109,370.5711013000109,5,"[258.5087245000177, 20.1935868000146, 24.716091799986316, 23.796099900006084, 14.527409599977545]","[258.5087323000189, 20.19359579999582, 24.716099699988263, 23.796106699999655, 14.527417199977208]",,Teat,001,2023-02-22_16h07.57.867,SEAL_LandmarkPoint,2022.2.5,60.072002301245156,
PointingImages/Landmark10_statue.jpeg,0,5,5,5,,,,,,385.3514786000014,385.3514786000014,385.3514786000014,6,"[258.5087245000177, 20.1935868000146, 24.716091799986316, 23.796099900006084, 14.527409599977545, 112.98581729998114]","[258.5087323000189, 20.19359579999582, 24.716099699988263, 23.796106699999655, 14.527417199977208, 112.98582379997242]",,Teat,001,2023-02-22_16h07.57.867,SEAL_LandmarkPoint,2022.2.5,60.072002301245156,
PointingImages/Landmark3_WaterFountain.jpeg,0,6,6,6,,,,,,498.6960832999903,498.6960832999903,498.6960832999903,7,"[258.5087245000177, 20.1935868000146, 24.716091799986316, 23.796099900006084, 14.527409599977545, 112.98581729998114, 208.1704705999873]","[258.5087323000189, 20.19359579999582, 24.716099699988263, 23.796106699999655, 14.527417199977208, 112.98582379997242, 208.1704763000016]",,Teat,001,2023-02-22_16h07.57.867,SEAL_LandmarkPoint,2022.2.5,60.072002301245156,
PointingImages/Landmark6_map.jpeg,0,7,7,7,,,,,,707.520912100008,707.520912100008,707.520912100008,8,"[258.5087245000177, 20.1935868000146, 24.716091799986316, 23.796099900006084, 14.527409599977545, 112.98581729998114, 208.1704705999873, 45.25989039998967]","[258.5087323000189, 20.19359579999582, 24.716099699988263, 23.796106699999655, 14.527417199977208, 112.98582379997242, 208.1704763000016, 45.25989660000778]",,Teat,001,2023-02-22_16h07.57.867,SEAL_LandmarkPoint,2022.2.5,60.072002301245156,
PointingImages/Landmark1_book.jpeg,0,8,8,8,,,,,,753.0625201000075,753.0625201000075,753.0625201000075,9,"[258.5087245000177, 20.1935868000146, 24.716091799986316, 23.796099900006084, 14.527409599977545, 112.98581729998114, 208.1704705999873, 45.25989039998967, 20.689778900006786]","[258.5087323000189, 20.19359579999582, 24.716099699988263, 23.796106699999655, 14.527417199977208, 112.98582379997242, 208.1704763000016, 45.25989660000778, 20.689789399999427]",,Teat,001,2023-02-22_16h07.57.867,SEAL_LandmarkPoint,2022.2.5,60.072002301245156,
PointingImages/Landmark4_vase.jpeg,0,9,9,9,,,,,,774.28706100001,774.28706100001,774.28706100001,10,"[258.5087245000177, 20.1935868000146, 24.716091799986316, 23.796099900006084, 14.527409599977545, 112.98581729998114, 208.1704705999873, 45.25989039998967, 20.689778900006786, 29.846454100013943]","[258.5087323000189, 20.19359579999582, 24.716099699988263, 23.796106699999655, 14.527417199977208, 112.98582379997242, 208.1704763000016, 45.25989660000778, 20.689789399999427, 29.84646200001589]",,Teat,001,2023-02-22_16h07.57.867,SEAL_LandmarkPoint,2022.2.5,60.072002301245156,
PointingImages/Landmark2_painting.jpeg,0,10,10,10,,,,,,804.4141414999904,804.4141414999904,804.4141414999904,11,"[258.5087245000177, 20.1935868000146, 24.716091799986316, 23.796099900006084, 14.527409599977545, 112.98581729998114, 208.1704705999873, 45.25989039998967, 20.689778900006786, 29.846454100013943, 29.91641959999106]","[258.5087323000189, 20.19359579999582, 24.716099699988263, 23.796106699999655, 14.527417199977208, 112.98582379997242, 208.1704763000016, 45.25989660000778, 20.689789399999427, 29.84646200001589, 29.91642559997854]",,Teat,001,2023-02-22_16h07.57.867,SEAL_LandmarkPoint,2022.2.5,60.072002301245156,
PointingImages/Landmark5_painting.jpeg,0,11,11,11,,,,,,834.6790589999873,834.6790589999873,834.6790589999873,12,"[258.5087245000177, 20.1935868000146, 24.716091799986316, 23.796099900006084, 14.527409599977545, 112.98581729998114, 208.1704705999873, 45.25989039998967, 20.689778900006786, 29.846454100013943, 29.91641959999106, 62.25204009999288]","[258.5087323000189, 20.19359579999582, 24.716099699988263, 23.796106699999655, 14.527417199977208, 112.98582379997242, 208.1704763000016, 45.25989660000778, 20.689789399999427, 29.84646200001589, 29.91642559997854, 62.252043100015726]",,Teat,001,2023-02-22_16h07.57.867,SEAL_LandmarkPoint,2022.2.5,60.072002301245156,
,,,,,,,,,,,,,,,,896.9162748999952,,,,,,,
